Action Bias,Observation Noise,Action Noise,Num Ghosts,Time Step,Guessed Cell,Probability of Guess,Guessed heading,Location Correct,Heading Correct
0.1,0.0,0.0,0,67,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,68,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,69,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,70,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,71,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,72,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,73,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,74,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,75,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,76,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,77,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,78,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,79,"(3, 3)",0.0,Headings.E,False,True
0.1,0.0,0.0,0,80,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,81,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,82,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,83,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,84,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,85,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,86,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,87,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,88,"(3, 3)",1.0,Headings.E,True,False
0.1,0.0,0.0,0,89,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,90,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,91,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,92,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,93,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,94,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,95,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,96,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,97,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,98,"(3, 3)",0.0,Headings.E,False,False
0.1,0.0,0.0,0,99,"(3, 3)",0.0,Headings.E,False,False
Action Bias,Observation Noise,Action Noise,Num Ghosts,Time Step,Guessed Cell,Probability of Guess,Guessed heading,Location Correct,Heading Correct
0.1,0.0,0.0,2,0,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,1,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,2,"(1, 3)",1.0,Headings.W,False,False
0.1,0.0,0.0,2,3,"(1, 3)",1.0,Headings.W,True,False
